Word/Idiom,Meaning,Episode,Memory Palace,Part of Speech,Verb (if relevant)
eso,"eso: ""that"", neuter (without a gendered noun)",2,,"Pronoun, Demonstrative",
y,"y: ""and"" between clauses",3,,"Conjunction, Coordinating",
y,"y: ""and"" between items in a list",3,,"Conjunction, List",
que,"que, meaning ""that"" as a conjunction (even in cases where ""that"" disappears in English)",3,,"Conjunction, Subordinating, potential subjunctive",
que,"que, meaning ""that"" as a relative pronoun",3,,"Pronoun, Relative",
no,"no: ""not"", or ""n't"" in ""didn't"", ""wouldn't"", etc.",4,,"Adverb, Whether (formerly ""boolean"")",
a,"a: ""to"", indicating direction/movement",4,,"Preposition, Preposition",
de,"de to mean ""of"" or ""from"", especially in terms of origin",4,,"Preposition, Preposition",
de,"de: ""from"", indicating direction/movement",4,,"Preposition, Preposition",
de,"de: ""of"" as in ""type of""",4,,"Preposition, Preposition",
de,"de: ""of"", indicating possession",5,,"Preposition, Preposition",
de,"de: ""of"", indicating material/components",5,,"Preposition, Preposition",
de,de: prepositional complement to other words,5,,"Preposition, Preposition",
el,"el: ""the"" for masculine nouns",6,,"Article, Definite",
la,"la: ""the"" for feminine nouns",6,,"Article, Definite",
la,"la: ""her"" or ""it"" as a direct object",7,,"Pronoun, Direct Object",
lo,"lo: ""him"" or ""it"" as a direct object",7,,"Pronoun, Direct Object",
un,"un: ""a"" or ""an"" with masculine nouns",8,,"Article, Indefinite",
una,"una: ""a"" or ""an"" with feminine nouns",8,,"Article, Indefinite",
me,"me: ""me"" as a direct object",8,,"Pronoun, Direct Object",
te,"te: ""you"" as a direct object",8,,"Pronoun, Direct Object",
por eso,"por eso: ""that's why"" or ""because of that""",9,,"Cluster, Idiom",
a,"a: ""at"" indicating a time",9,,"Preposition, Preposition",
con,"con: ""with""",9,,"Preposition, Preposition",
en,"en: ""in""",9,,"Preposition, Preposition",
en,"en: ""at"" indicating location",9,,"Preposition, Preposition",
en,"en: ""on""",9,,"Preposition, Preposition",
para,"para: ""for"", as in ""intended for""",9,,"Preposition, Preposition",
para,"para: ""by"" a moment in time, as in ""by then""",9,,"Preposition, Preposition",
por,"por: ""because of""",9,,"Preposition, Preposition",
por,"por: ""by"", as in ""produced by""",9,,"Preposition, Preposition",
por,"por: ""near""/""around"", as in ""near here""",9,,"Preposition, Preposition",
por,"por: ""for""/""during"", as in ""for an hour""",9,,"Preposition, Preposition",
por,"por: ""along"", as in ""along the route""",9,,"Preposition, Preposition",
por,,9,,"Preposition, Preposition",
las,"las: ""the"" for plural feminine nouns",10,,"Article, Definite",
los,"los: ""the"" for plural masculine nouns",10,,"Article, Definite",
por qué,"por qué: ""why?"" (idiom)",10,,"Cluster, Idiom",
las,"las: ""them"" as a direct object for feminine people/things",10,,"Pronoun, Direct Object",
los,"los: ""them"" as a direct object",10,,"Pronoun, Direct Object",
qué,"qué: ""what?"" in a question",10,,"Pronoun, Interrogative",
para que,"para que: ""in order that"", ""so that"" (idiom)",11,,"Cluster, Conjunction cluster",
que,"que, meaning ""than"" in comparisons",11,,"Conjunction, Comparative",
qué,"qué: ""what!"" or ""how!"" in exclamations, as in ""how lucky!""",11,,"Pronoun, Exclamative",
es,or,12,,"Verb, Verb",Ser
eres,"eres: ""are"", ""you are"" (Ser, present, 2nd person)",13,,"Verb, Verb",Ser
ser,"ser: ""to be"", ""being"" (infinitive)",13,,"Verb, Verb",Ser
somos,"somos: ""are"", ""we are"" (Ser, present, 1st person plural)",13,,"Verb, Verb",Ser
son,"son: ""are"", ""they are"" (Ser, present, 3rd person plural)",13,,"Verb, Verb",Ser
soy,"soy: ""am"", ""I am"" (Ser, present, 1st person)",13,,"Verb, Verb",Ser
él,"él: ""he"", subject pronoun",17,,"Pronoun, Subject",
ella,"ella: ""she"", subject pronoun",17,,"Pronoun, Subject",
ellas,"ellas: ""they"", feminine subject pronoun",17,,"Pronoun, Subject",
ellos,"ellos: ""they"", subject pronoun",17,,"Pronoun, Subject",
nosotras,"nosotras: ""we"", fem. subject pronoun",17,,"Pronoun, Subject",
nosotros,"nosotros: ""we"", subject pronoun",17,,"Pronoun, Subject",
